,unitid,inst_name,state_abbr,latitude,longitude,url_athletes,member_conf_baseball,member_ncaa,member_naia,member_njcaa,conf_number_baseball,est_fte,level_of_study,ftpt,income_level,average_grant,net_price,number_applied,number_admitted,number_enrolled_total,sex,reqt_test_scores,sat_crit_read_75_pctl,sat_math_75_pctl,Acceptance_Rate,CONFNO3,Conference_Name,School,...1,instnm,stabbr,city,zip,ugds,insturl,tuitionfee_in,tuitionfee_out,locale,adm_rate,sat_avg,admcon7,npt4_pub,npt4_priv,npt45_pub,npt45_priv,year.x,ID,team_name,Division,Common name...5,Nickname,City,State,Primary,...10,...11,team_id,division.x,year.y,wins,losses,ties,team_name.y.y,division.y,season,total_players,avg_p_height_in,avg_other_height_in,count_Fr,count_So,count_Jr,count_Sr,count_Other,top_state_1,top_state_2,top_state_3,top_state_1_count,top_state_2_count,top_state_3_count
107,131469,George Washington University,DC,38.89923,-77.048363,https://irp.gwu.edu/facts-and-dashboards,Yes,Yes,No,No,103,11117,Undergraduate,Full-time,$110 ,27713,50187,27236,13539,2571,Total,Considered,740,750,0.497099427,103,Atlantic 10 Conference,George Washington University,577,George Washington University,DC,Washington,20052,10848,https://www.gwu.edu/,64990,64990,11,0.4354,1433,5,NA,37454,NA,53974,latest,249,George Washington,1,George Washington,Revolutionaries,Washington,DC,Atlantic 10 Conference,NA,NA,596549,1,2025,27,27,0,George Washington,1,2025,39,73.94736842,72.1,12,11,5,11,0,NJ,NY,VA,8,5,5
108,131496,Georgetown University,DC,38.908809,-77.073463,NA,Yes,Yes,No,No,104,7217,Undergraduate,Full-time,$110 ,30396,51119,27629,3311,1585,Total,Required,770,780,0.119837852,104,Big East Conference,Georgetown University,578,Georgetown University,DC,Washington,20057-0001,7462,www.georgetown.edu/,65081,65081,11,0.1308,1494,1,NA,39433,NA,57166,latest,251,Georgetown,1,Georgetown,Hoyas,Washington,DC,Big East Conference[FB 4],NA,NA,596550,1,2025,16,40,0,Georgetown,1,2025,40,73.5,72.75,9,8,7,16,0,FL,CA,MA,6,4,4
109,131283,The Catholic University of America,DC,38.933651,-76.997909,NA,Yes,Yes,No,No,361,3021,Undergraduate,Full-time,$110 ,32438,38121,5895,5070,691,Total,Neither required nor recommended,NA,NA,0.860050891,361,Landmark Conference,The Catholic University of America,573,The Catholic University of America,DC,Washington,20064,3063,https://www.catholic.edu/,55834,55834,11,0.8384,NA,3,NA,32798,NA,39898,latest,124,Catholic,3,Catholic University of America,Cardinals,Washington,DC,Landmark Conference,NA,NA,597245,3,2025,29,18,0,Catholic,3,2025,47,72.20833333,71.34782609,7,16,8,16,0,PA,NJ,MD,13,10,6
110,130934,Delaware State University,DE,39.187173,-75.54053,www.desu.edu/institutional-research-and-analysis/heoa-compliance-information,Yes,Yes,No,No,121,4254,Undergraduate,Full-time,$110 ,9896,14352,4764,2803,1023,Total,Recommended,NA,NA,0.588371117,121,Mid-Eastern Athletic Conference,Delaware State University,567,Delaware State University,DE,Dover,19901,4630,www.desu.edu/,10314,20250,13,0.6167,984,5,15745,NA,20170,NA,latest,178,Delaware St.,1,Delaware State,Hornets[i],Dover,DE,Mid-Eastern Athletic Conference,NA,NA,596533,1,2025,7,34,0,Delaware St.,1,2025,23,73.33333333,71.76923077,9,6,6,2,0,DE,NJ,PA,13,2,2
111,130989,Goldey-Beacom College,DE,39.741501,-75.689624,www.gbcathletics.com/sports/2008/3/11/Compliance Welcome Page.aspx,Yes,Yes,No,No,323,608,Undergraduate,Full-time,$110 ,3845,20001,520,327,128,Total,Recommended,NA,NA,0.628846154,323,Central Atlantic Collegiate Conference,Goldey-Beacom College,569,Goldey-Beacom College,DE,Wilmington,19808,634,www.gbc.edu/,13440,13440,21,0.7653,NA,3,NA,16957,NA,21408,latest,8366,Goldey-Beacom,2,Goldey-Beacom College,Lightning,Pike Creek Valley,DE,Central Atlantic Collegiate Conference,NA,NA,596767,2,2025,34,21,0,Goldey-Beacom,2,2025,45,73.16666667,71.76190476,11,10,12,12,0,PA,DE,NJ,15,12,10
112,130943,University of Delaware,DE,39.679577,-75.752822,ire.udel.edu/ir/righttoknow/athletic-information/,Yes,Yes,No,No,110,19061,Undergraduate,Full-time,$110 ,3595,25149,34111,24679,4617,Total,Required,670,670,0.723490956,110,Colonial Athletic Association,University of Delaware,568,University of Delaware,DE,Newark,19716,18812,www.udel.edu/,16080,39720,21,0.6511,1297,5,16931,NA,25310,NA,latest,180,Delaware,1,Delaware,Fightin' Blue Hens,Newark,DE,Conference USA,NA,NA,596534,1,2025,28,25,0,Delaware,1,2025,38,73.05,72.41176471,11,10,8,9,0,PA,DE,NJ,11,7,6
113,132471,Barry University,FL,25.878908,-80.198925,gobarrybucs.com/sports/2016/5/25/academic-success.aspx?path=academics,Yes,Yes,No,No,162,2684,Undergraduate,Full-time,$110 ,18073,26412,10651,6784,716,Total,Recommended,NA,NA,0.636935499,162,Sunshine State Conference,Barry University,586,Barry University,FL,Miami,33161-6695,2245,www.barry.edu/,33450,33450,21,0.5907,NA,3,NA,22978,NA,29647,latest,49,Barry,2,Barry University,Buccaneers,Miami Shores,FL,Sunshine State Conference,NA,NA,596859,2,2025,24,26,0,Barry,2,2025,46,73.25,71.54545455,9,8,16,13,0,FL,NJ,NY,22,10,2
114,132602,Bethune-Cookman University,FL,29.207195,-81.032946,www.cookman.edu/documents/oirpa/Institutional Profile Fall 2013.pdf,Yes,Yes,No,No,133,2493,Undergraduate,Full-time,$110 ,7972,21579,5577,5568,812,Total,Required,510,480,0.998386229,133,Southwestern Athletic Conference,Bethune-Cookman University,587,Bethune-Cookman University,FL,Daytona Beach,32114-3099,2414,https://www.cookman.edu/,14794,14794,13,0.9985,913,5,NA,14892,NA,20662,latest,61,Bethune-Cookman,1,Bethune–Cookman,Wildcats,Daytona Beach,FL,Southwestern Athletic Conference,NA,NA,596494,1,2025,37,23,0,Bethune-Cookman,1,2025,39,71.82352941,73.13636364,5,7,14,13,0,FL,Puerto Rico,Venezuela,24,8,2
115,133492,Eckerd College,FL,27.715798,-82.687043,https://eckerdtritons.com/sports/2009/7/21/compliance.aspx,Yes,Yes,No,No,162,2163,Undergraduate,Full-time,$110 ,29142,36212,5580,3927,650,Total,Neither required nor recommended,NA,NA,0.703763441,162,Sunshine State Conference,Eckerd College,601,Eckerd College,FL,Saint Petersburg,33711-4700,1984,https://www.eckerd.edu/,50374,50374,11,0.7869,1256,5,NA,33011,NA,37419,latest,208,Eckerd,2,Eckerd College,Tritons,St. Petersburg,FL,Sunshine State Conference,NA,NA,596884,2,2025,10,38,0,Eckerd,2,2025,37,73,70,11,6,15,4,1,FL,NA,NA,3,NA,NA
116,133526,Edward Waters University,FL,30.34479,-81.684879,NA,Yes,Yes,No,No,161,1183,Undergraduate,Full-time,$110 ,9759,16839,6254,5010,344,Total,Recommended,NA,NA,0.801087304,161,Southern Intercollegiate Athletic Conference,Edward Waters University,603,Edward Waters University,FL,Jacksonville,32209,1113,www.ew.edu/,14878,14878,11,0.8481,NA,3,NA,13580,NA,20001,latest,30244,Edward Waters,2,Edward Waters University,Tigers,Jacksonville,FL,Southern Intercollegiate Athletic Conference,NA,NA,596968,2,2025,34,19,0,Edward Waters,2,2025,37,72.07692308,70.63157895,9,7,9,9,3,FL,PR,Venezuela,20,7,3
117,133553,Embry-Riddle Aeronautical University-Daytona Beach,FL,29.189903,-81.048367,daytonabeach.erau.edu/financial-aid/tools,Yes,Yes,Yes,No,333,7235,Undergraduate,Full-time,$110 ,17175,40579,9255,6691,1862,Total,Considered,660,670,0.722960562,333,The Sun Conference,Embry-Riddle Aeronautical University-Daytona Beach,604,Embry-Riddle Aeronautical University-Daytona Beach,FL,Daytona Beach,32114-3900,7535,daytonabeach.erau.edu/,42304,42304,13,0.6628,1256,5,NA,40289,NA,43073,latest,9680,Embry-Riddle (FL),2,Embry-Riddle Aeronautical University,Eagles,Daytona Beach,FL,Sunshine State Conference,NA,NA,596781,2,2025,25,24,0,Embry-Riddle (FL),2,2025,55,73.66666667,71.94117647,16,16,10,13,0,FL,TX,IN,34,3,2
118,133711,Flagler College,FL,29.892733,-81.314887,https://flaglerathletics.com/documents/2016/3/17//2016_Graduation_Rates.pdf?id=1690,Yes,Yes,No,No,157,2570,Undergraduate,Full-time,$110 ,6903,31682,5381,3984,742,Total,Considered,610,570,0.740382828,157,Peach Belt Conference,Flagler College,608,Flagler College,FL,Saint Augustine,32084,2404,https://www.flagler.edu/,26610,26610,23,0.7809,1099,5,NA,29951,NA,35920,latest,30092,Flagler,2,Flagler College,Saints,St. Augustine,FL,Peach Belt Conference,NA,NA,596812,2,2025,30,20,0,Flagler,2,2025,36,72.66666667,71.73684211,5,10,11,10,0,FL,GA,AL,19,9,1
119,133650,Florida Agricultural and Mechanical University,FL,30.428504,-84.290226,www.famu.edu/index.cfm?oir&IPEDS,Yes,Yes,No,No,121,6997,Undergraduate,Full-time,$110 ,7622,16363,8717,3076,1129,Total,Required,590,560,0.352873695,121,Mid-Eastern Athletic Conference,Florida Agricultural and Mechanical University,605,Florida Agricultural and Mechanical University,FL,Tallahassee,32307,7516,www.famu.edu/,5785,17725,12,0.2112,1100,1,15847,NA,21999,NA,latest,228,Florida A&M,1,Florida A&M,Rattlers[s],Tallahassee,FL,Southwestern Athletic Conference,NA,NA,596542,1,2025,33,25,0,Florida A&M,1,2025,34,73.2,72.13043478,8,6,8,12,0,FL,GA,IL,23,4,1
120,133669,Florida Atlantic University,FL,26.372421,-80.102978,NA,Yes,Yes,No,No,111,21757,Undergraduate,Full-time,$110 ,4640,15478,25148,19617,3925,Total,Required,610,590,0.780062033,111,Conference USA,Florida Atlantic University,606,Florida Atlantic University,FL,Boca Raton,33431-0991,23458,www.fau.edu/,4879,17324,13,0.7344,1119,1,8001,NA,16235,NA,latest,229,Fla. Atlantic,1,Florida Atlantic,Owls,Boca Raton,FL,American Athletic Conference,NA,NA,596543,1,2025,37,21,0,Fla. Atlantic,1,2025,39,74.19047619,72.33333333,8,9,10,12,0,FL,CA,NC,28,3,2
121,433660,Florida Gulf Coast University,FL,26.463638,-81.7726,NA,Yes,Yes,No,No,135,12780,Undergraduate,Full-time,$110 ,3166,13888,14462,12901,3125,Total,Required,600,580,0.892061955,135,Atlantic Sun Conference,Florida Gulf Coast University,4154,Florida Gulf Coast University,FL,Fort Myers,33965-6565,13809,www.fgcu.edu/,6118,25162,21,0.7675,1120,1,10319,NA,16165,NA,latest,28755,FGCU,1,FGCU[N 4],Eagles,Fort Myers[L 4],FL,Atlantic Sun Conference,NA,NA,596473,1,2025,31,29,0,FGCU,1,2025,40,74.80952381,72.88888889,11,8,14,7,0,FL,KS,MN,32,1,1
122,133881,Florida Institute of Technology,FL,28.065815,-80.622893,https://www.fit.edu/institutional-research/institutional-research/core-values--student-success/full-time-ftic-retention-and-graduation-rates/,Yes,Yes,No,No,162,3278,Undergraduate,Full-time,$110 ,25377,32253,10650,7016,756,Total,Required,670,670,0.658779343,162,Sunshine State Conference,Florida Institute of Technology,614,Florida Institute of Technology,FL,Melbourne,32901-6975,3235,https://www.fit.edu/,44360,44360,13,0.6253,1213,1,NA,35300,NA,39204,latest,230,Florida Tech,2,Florida Institute of Technology,Panthers,Melbourne,FL,Sunshine State Conference,NA,NA,596885,2,2025,24,24,0,Florida Tech,2,2025,40,73.25,71.52631579,7,3,9,21,0,FL,PA,Canada,24,2,1
123,133951,Florida International University,FL,25.75732,-80.373928,web3.ncaa.org/aprsearch/gsrsearch,Yes,Yes,No,No,111,38978,Undergraduate,Full-time,$110 ,2511,17155,16406,10502,4061,Total,Required,630,610,0.640131659,111,Conference USA,Florida International University,615,Florida International University,FL,Miami,33199,38761,www.fiu.edu/,6565,18963,21,0.5884,1154,1,9133,NA,17313,NA,latest,231,FIU,1,FIU,Panthers,Miami[L 5],FL,Conference USA,NA,NA,596544,1,2025,31,27,0,FIU,1,2025,45,74.42857143,71.83333333,14,4,11,16,0,FL,IA,PA,26,3,2
124,134079,Florida Southern College,FL,28.032443,-81.948203,www.flsouthern.edu/campus-offices/institutional-research-office/institutional-information.aspx,Yes,Yes,No,No,162,2854,Undergraduate,Full-time,$110 ,22279,32776,10759,6550,792,Total,Considered,680,655,0.608792639,162,Sunshine State Conference,Florida Southern College,620,Florida Southern College,FL,Lakeland,33801-5698,2607,www.flsouthern.edu/,42360,42360,12,0.5907,1263,5,NA,29664,NA,34331,latest,233,Fla. Southern,2,Florida Southern College,Moccasins,Lakeland,FL,Sunshine State Conference,NA,NA,596886,2,2025,38,15,1,Fla. Southern,2,2025,48,74,72.29166667,9,8,16,15,0,FL,NY,OH,34,3,2
125,134097,Florida State University,FL,30.440756,-84.291921,NA,Yes,Yes,No,No,102,33238,Undergraduate,Full-time,$110 ,11916,11392,65235,24183,7619,Total,Required,680,660,0.370705909,102,Atlantic Coast Conference,Florida State University,621,Florida State University,FL,Tallahassee,32306-1037,31812,https://www.fsu.edu/,5656,18786,12,0.2538,1323,1,10997,NA,17910,NA,latest,234,Florida St.,1,Florida State,Seminoles,Tallahassee,FL,Atlantic Coast Conference,NA,NA,596545,1,2025,42,16,0,Florida St.,1,2025,40,73.80952381,73.05263158,13,9,14,4,0,FL,GA,AL,31,2,1
126,134945,Jacksonville University,FL,30.353227,-81.60458,https://web3.ncaa.org/aprsearch/gsrsearch,Yes,Yes,No,No,135,2806,Undergraduate,Full-time,$110 ,26688,32239,7997,6207,635,Total,Considered,640,610,0.776166062,135,Atlantic Sun Conference,Jacksonville University,635,Jacksonville University,FL,Jacksonville,32211-3394,2649,https://www.ju.edu/index.php,46180,46180,11,0.5729,1211,5,NA,26255,NA,30566,latest,316,Jacksonville,1,Jacksonville,Dolphins,Jacksonville,FL,Atlantic Sun Conference,NA,NA,596572,1,2025,30,26,0,Jacksonville,1,2025,35,74.2,71.4,5,9,11,10,0,FL,CA,GA,23,1,1
127,132657,Lynn University,FL,26.385985,-80.122806,https://www.lynn.edu/higher-education-opportunity-act#student-achievement,Yes,Yes,No,No,162,2655,Undergraduate,Full-time,$110 ,17816,40372,7194,5972,797,Total,Considered,600,600,0.830136225,162,Sunshine State Conference,Lynn University,588,Lynn University,FL,Boca Raton,33431-5598,2820,https://www.lynn.edu/,42950,42950,13,0.7395,1136,5,NA,38222,NA,40980,latest,20794,Lynn,NA,NA,NA,NA,NA,NA,NA,NA,596794,2,2025,30,18,0,Lynn,2,2025,45,75,72.33333333,7,6,12,20,0,NJ,FL,NY,2,1,1
128,136215,Nova Southeastern University,FL,26.079337,-80.24248,www.nova.edu/financialaid/forms/srk_disclosure.pdf,Yes,Yes,No,No,162,6392,Undergraduate,Full-time,$110 ,21426,31944,11749,10868,1672,Total,Considered,650,660,0.925014895,162,Sunshine State Conference,Nova Southeastern University,658,Nova Southeastern University,FL,Fort Lauderdale,33328-2004,7171,www.nova.edu/,37080,37080,21,0.7267,1182,5,NA,31303,NA,35861,latest,24639,Nova Southeastern,2,Nova Southeastern University,Sharks,Davie,FL,Sunshine State Conference,NA,NA,596797,2,2025,26,22,0,Nova Southeastern,2,2025,37,72.64285714,72.05,6,8,10,13,0,FL,MN,NC,30,1,1
129,136330,Palm Beach Atlantic University,FL,26.7044,-80.05247,www.pbasailfish.com/sports/2017/6/28/compliance.aspx,Yes,Yes,No,No,162,2338,Undergraduate,Full-time,$110 ,19345,33280,1923,1728,505,Total,Considered,630,610,0.898595944,162,Sunshine State Conference,Palm Beach Atlantic University,661,Palm Beach Atlantic University,FL,West Palm Beach,33401,2427,www.pba.edu/,37990,37990,12,0.8832,1101,5,NA,32751,NA,36841,latest,30045,Palm Beach Atl.,2,Palm Beach Atlantic University,Sailfish,West Palm Beach,FL,Sunshine State Conference,NA,NA,596801,2,2025,19,28,0,Palm Beach Atl.,2,2025,40,73.4,70.6,8,9,11,11,1,NJ,FL,OH,3,1,1
130,136950,Rollins College,FL,28.592787,-81.349239,https://rollinssports.com/sports/2020/4/28/information-departments-ncaa-compliance-index.aspx,Yes,Yes,No,No,162,2834,Undergraduate,Full-time,$110 ,32908,37771,8409,4094,549,Total,Recommended,NA,NA,0.486859317,162,Sunshine State Conference,Rollins College,672,Rollins College,FL,Winter Park,32789-4499,2582,www.rollins.edu/,58300,58300,21,0.4056,1304,5,NA,33847,NA,41399,latest,584,Rollins,2,Rollins College,Tars,Winter Park,FL,Sunshine State Conference,NA,NA,596928,2,2025,29,19,1,Rollins,2,2025,40,73.38095238,71.52631579,5,7,10,18,0,FL,MA,PA,20,5,3
131,137032,Saint Leo University,FL,28.336776,-82.257801,https://www.saintleo.edu/athletic-program-participation-disclosures,Yes,Yes,No,No,162,5436,Undergraduate,Full-time,$110 ,16927,23287,10086,7127,826,Total,Considered,590,560,0.706623042,162,Sunshine State Conference,Saint Leo University,674,Saint Leo University,FL,Saint Leo,33574-6665,6999,www.saintleo.edu/,28360,28360,31,0.721,NA,5,NA,18467,NA,23342,latest,608,Saint Leo,2,Saint Leo University,Lions,St. Leo,FL,Sunshine State Conference,NA,NA,596932,2,2025,21,29,0,Saint Leo,2,2025,50,74.8,71.93333333,13,6,16,15,0,FL,OH,Canada,29,3,2
132,137546,Stetson University,FL,29.035475,-81.300746,NA,Yes,Yes,No,No,135,2964,Undergraduate,Full-time,$110 ,34070,33561,9260,8486,637,Total,Considered,650,645,0.916414687,135,Atlantic Sun Conference,Stetson University,686,Stetson University,FL,DeLand,32723,2292,https://www.stetson.edu/,55220,55220,13,0.8643,1208,5,NA,21318,NA,32728,latest,678,Stetson,1,Stetson,Hatters,DeLand,FL,Atlantic Sun Conference[FB 1],NA,NA,596720,1,2025,41,22,0,Stetson,1,2025,42,73.36363636,72.25,9,11,15,7,0,FL,NY,Canada,25,3,2
133,137847,The University of Tampa,FL,27.948455,-82.46483,NA,Yes,Yes,No,No,162,9802,Undergraduate,Full-time,$110 ,12368,35905,32904,17620,3102,Total,Considered,630,610,0.535497204,162,Sunshine State Conference,The University of Tampa,692,The University of Tampa,FL,Tampa,33606-1490,10093,https://www.ut.edu/,33424,33424,11,0.4093,NA,3,NA,35634,NA,37275,latest,689,Tampa,2,University of Tampa,Spartans,Tampa,FL,Sunshine State Conference,NA,NA,596939,2,2025,55,10,0,Tampa,2,2025,36,73.6875,71.84210526,5,3,4,23,1,FL,NJ,PA,26,2,2
134,138354,The University of West Florida,FL,30.549076,-87.218511,goargos.com/sports/2014/12/13/GEN_1213144159.aspx,Yes,Yes,No,No,146,8079,Undergraduate,Full-time,$110 ,3175,15182,8660,4573,1159,Total,Required,630,600,0.528060046,146,Gulf South Conference,The University of West Florida,702,University of West Florida,FL,Pensacola,32514-5750,9042,uwf.edu/,6360,19241,41,0.5687,1137,1,8155,NA,15446,NA,latest,11740,West Florida,2,University of West Florida,Argonauts,Pensacola,FL,Gulf South Conference,NA,NA,596787,2,2025,36,21,0,West Florida,2,2025,36,73.5,73,6,5,12,13,0,FL,GA,AL,9,2,1
135,132903,University of Central Florida,FL,28.602159,-81.200889,ikm.ucf.edu/reports/ipeds/,Yes,Yes,No,No,372,53707,Undergraduate,Full-time,$110 ,6325,16337,48929,17797,7090,Total,Required,680,670,0.363731121,372,American Athletic Conference,University of Central Florida,595,University of Central Florida,FL,Orlando,32816,59095,www.ucf.edu/,6368,22467,21,0.3952,1277,1,10650,NA,17821,NA,latest,128,UCF,1,UCF,Knights,Orlando[L 23],FL,Big 12 Conference,NA,NA,596519,1,2025,29,26,0,UCF,1,2025,40,73.65217391,72.88235294,6,10,14,10,0,FL,PA,NJ,27,3,2
136,134130,University of Florida,FL,29.64629,-82.347911,https://floridagators.com/sports/2015/12/10/_compliance_p_sa_prospective.aspx,Yes,Yes,No,No,130,34229,Undergraduate,Full-time,$110 ,6156,15203,51207,15431,6787,Total,Required,720,750,0.301345519,130,Southeastern Conference,University of Florida,622,University of Florida,FL,Gainesville,32611,34102,https://www.ufl.edu/,6381,28659,12,0.2403,1397,1,6351,NA,15571,NA,latest,235,Florida,1,Florida,Gators,Gainesville,FL,Southeastern Conference,NA,NA,596546,1,2025,39,22,0,Florida,1,2025,38,75.36842105,73.58823529,14,12,9,3,0,FL,GA,SC,30,4,2
137,135726,University of Miami,FL,25.72126,-80.278662,https://irsa.miami.edu/_assets/pdf/institutionreport.pdf,Yes,Yes,No,No,102,12365,Undergraduate,Full-time,$110 ,26372,47404,42244,12036,2766,Total,Considered,720,740,0.284916201,102,Atlantic Coast Conference,University of Miami,653,University of Miami,FL,Coral Gables,33146,12570,www.miami.edu/,59926,59926,21,0.1851,1416,5,NA,36803,NA,48907,latest,415,Miami (FL),1,Miami (Florida),Hurricanes,Coral Gables,FL,Atlantic Coast Conference,NA,NA,596600,1,2025,35,27,0,Miami (FL),1,2025,36,74.29411765,72.68421053,13,6,8,9,0,FL,SC,NJ,22,3,2
138,136172,University of North Florida,FL,30.27194,-81.509144,https://www.unf.edu/consumer_information/,Yes,Yes,No,No,135,13061,Undergraduate,Full-time,$110 ,3285,15699,16004,12401,2574,Total,Required,620,590,0.774868783,135,Atlantic Sun Conference,University of North Florida,657,University of North Florida,FL,Jacksonville,32224-7699,13915,https://www.unf.edu/,6389,20793,11,0.6227,1115,1,10353,NA,17447,NA,latest,2711,North Florida,1,North Florida,Ospreys,Jacksonville,FL,Atlantic Sun Conference,NA,NA,596467,1,2025,27,29,0,North Florida,1,2025,43,73.23809524,70.95454545,12,8,13,10,0,FL,AL,CA,37,1,1
139,137351,University of South Florida,FL,28.061458,-82.413232,www.usf.edu/about-usf/student-consumer-information.aspx,Yes,Yes,No,No,372,34921,Undergraduate,Full-time,$110 ,4879,16504,50352,24863,6279,Total,Required,660,670,0.493783762,372,American Athletic Conference,University of South Florida,684,University of South Florida,FL,Tampa,33620-9951,36299,www.usf.edu/,6410,17324,11,0.4096,1235,1,10043,NA,17671,NA,latest,651,South Fla.,1,South Florida,Bulls,Tampa,FL,American Athletic Conference,NA,NA,596679,1,2025,31,25,0,South Fla.,1,2025,41,73.47619048,72.2,6,10,14,11,0,FL,GA,PA,25,2,2
140,482149,Augusta University,GA,33.47037,-81.989071,augusta.edu/about/consumer-information.php,Yes,Yes,No,No,157,4901,Undergraduate,Full-time,$110 ,5098,16826,5442,3988,1044,Total,Required,660,640,0.732818817,157,Peach Belt Conference,Augusta University,5164,Augusta University,GA,Augusta,30912,5282,www.augusta.edu/,8122,23500,12,0.8931,1113,1,13347,NA,16901,NA,latest,39,Augusta,NA,\,NA,Augusta,GA,NA,NA,NA,596857,2,2025,13,40,0,Augusta,2,2025,56,73.2,72.72222222,20,13,9,14,0,GA,FL,NA,4,1,NA
141,139144,Berry College,GA,34.290414,-85.189202,NA,Yes,Yes,No,No,368,2130,Undergraduate,Full-time,$110 ,26212,28763,5249,3669,729,Total,Considered,678,638,0.698990284,368,Southern Athletic Association,Berry College,722,Berry College,GA,Mount Berry,30149,2213,https://www.berry.edu/,40416,40416,23,0.6185,1223,5,NA,21568,NA,28207,latest,973,Berry,3,Berry College,Vikings,Mount Berry,GA,Southern Athletic Association,NA,NA,597100,3,2025,20,22,0,Berry,3,2025,45,73.11764706,71.82142857,11,12,15,7,0,GA,AL,FL,33,5,2
142,138947,Clark Atlanta University,GA,33.747628,-84.412584,NA,Yes,Yes,No,No,161,3187,Undergraduate,Full-time,$110 ,86,39360,16718,9737,1123,Total,Considered,543,510,0.582426128,161,Southern Intercollegiate Athletic Conference,Clark Atlanta University,720,Clark Atlanta University,GA,Atlanta,30314-4391,3482,www.cau.edu/,26446,26446,11,0.6463,NA,5,NA,35115,NA,39940,latest,144,Clark Atlanta,2,Clark Atlanta University,Panthers,Atlanta,GA,Southern Intercollegiate Athletic Conference,NA,NA,596875,2,2025,17,24,0,Clark Atlanta,2,2025,28,73.14285714,71.15384615,3,7,10,8,0,GA,IL,FL,8,6,3
143,139366,Columbus State University,GA,32.50096,-84.94106,NA,Yes,Yes,No,No,157,5361,Undergraduate,Full-time,$110 ,4028,16810,5275,4142,1205,Total,Considered,570,560,0.78521327,157,Peach Belt Conference,Columbus State University,731,Columbus State University,GA,Columbus,31907-5645,5537,www.columbusstate.edu/,5751,16805,12,0.9924,994,5,11889,NA,15428,NA,latest,159,Columbus St.,2,Columbus State University,Cougars,Columbus,GA,Peach Belt Conference,NA,NA,596877,2,2025,30,23,0,Columbus St.,2,2025,43,73.27272727,71.5,10,8,15,10,0,GA,FL,AL,25,10,6
144,139393,Covenant College,GA,34.965161,-85.375066,www.covenant.edu/consumer,Yes,Yes,No,No,171,796,Undergraduate,Full-time,$110 ,23678,28035,794,703,266,Total,Considered,660,640,0.885390428,171,USA South Athletic Conference,Covenant College,733,Covenant College,GA,Lookout Mountain,30750-4164,858,www.covenant.edu/,40464,40464,21,0.8176,1254,5,NA,24832,NA,29241,latest,30111,Covenant,3,Covenant College,Scots,Lookout Mountain,GA,Collegiate Conference of the South,NA,NA,597199,3,2025,19,22,0,Covenant,3,2025,56,73,73,17,27,2,10,0,GA,AL,FL,2,1,1
145,139658,Emory University,GA,33.790183,-84.325512,NA,Yes,Yes,No,No,200,7852,Undergraduate,Full-time,$110 ,26623,48971,33435,4364,1494,Total,Considered,750,790,0.130521908,200,University Athletic Association,Emory University,739,Emory University,GA,Atlanta,30322,7275,www.emory.edu/,60774,60774,11,0.111,1507,5,NA,23911,NA,54582,latest,217,Emory,3,Emory University,Eagles,Atlanta,GA,University Athletic Association,NA,NA,597276,3,2025,28,16,0,Emory,3,2025,36,73.81818182,72.04,5,13,8,10,0,DC,NA,NA,1,NA,NA
146,139861,Georgia College & State University,GA,33.082787,-83.231962,www.gcsu.edu/registrar/student-right-know,Yes,Yes,No,No,157,5372,Undergraduate,Full-time,$110 ,6531,21587,4633,4062,1507,Total,Required,640,620,0.876753723,157,Peach Belt Conference,Georgia College & State University,745,Georgia College & State University,GA,Milledgeville,31061,5599,www.gcsu.edu/,8998,28178,32,0.8777,1150,1,18809,NA,21140,NA,latest,1096,Georgia College,2,Georgia College & State University,Bobcats,Milledgeville,GA,Peach Belt Conference,NA,NA,596727,2,2025,30,24,0,Georgia College,2,2025,44,73.125,71.94736842,8,13,13,9,1,GA,FL,NA,42,1,NA
147,139755,Georgia Institute of Technology-Main Campus,GA,33.77242,-84.394832,https://irp.gatech.edu/student-achievement,Yes,Yes,No,No,102,16360,Undergraduate,Full-time,$110 ,10341,18807,44048,7030,3453,Total,Required,730,770,0.15959862,102,Atlantic Coast Conference,Georgia Institute of Technology-Main Campus,743,Georgia Institute of Technology-Main Campus,GA,Atlanta,30332-0530,18260,www.gatech.edu/,11764,32876,11,0.1646,1447,1,13289,NA,17250,NA,latest,255,Georgia Tech,1,Georgia Tech,Yellow Jackets,Atlanta,GA,Atlantic Coast Conference,NA,NA,596553,1,2025,41,19,0,Georgia Tech,1,2025,45,73.58333333,73.2,20,14,6,5,0,GA,SC,AZ,33,2,1
148,139931,Georgia Southern University,GA,32.426153,-81.784045,www.gseagles.com/sports/2013/7/14/GEN_0714132518.aspx?,Yes,Yes,No,No,134,21606,Undergraduate,Full-time,$110 ,4107,18545,18541,16782,5571,Total,Considered,610,590,0.905129173,134,Sun Belt Conference,Georgia Southern University,746,Georgia Southern University,GA,Statesboro,30460-8126,21029,www.georgiasouthern.edu/,5905,16959,32,0.8963,1057,5,16531,NA,20259,NA,latest,253,Ga. Southern,1,Georgia Southern,Eagles[u],Statesboro,GA,Sun Belt Conference,NA,NA,596551,1,2025,28,31,0,Ga. Southern,1,2025,43,73.95454545,72.9,10,5,12,16,0,GA,FL,NC,27,6,2
